品牌,品类,类别,风格,档次
伊藤家·チーズケーキ,餐饮,糕点小吃,/,大众
意粉屋,餐饮,西餐,西餐正餐,中档
隐竹,餐饮,东南亚菜,/,中档
芋观园,餐饮,糕点小吃,/,大众
Ole精品超市,超市,/,/,/
屈臣氏,超市,/,/,/
尊尚百货,超市,/,/,/
AppleShop,超市,/,/,/
COSTA,超市,/,/,/
华润万家,超市,/,/,/
万宁,超市,/,/,/
永旺,超市,/,/,/
MISSONI,服装,女装,潮流时尚,奢侈
热风,服装,男装,潮流时尚,中档
热风,服装,女装,潮流时尚,中档
HAZZYS,服装,男装,韩式,高档
HAZZYS,服装,女装,韩式,高档
艾格,服装,女装,成熟优雅,高档
I.P.ZONE,服装,男装,中式,大众
I.P.ZONE,服装,女装,中式,大众
马克华菲,服装,男装,中式,中档
马克华菲,服装,女装,中式,中档
PRADA,服装,男装,潮流时尚,奢侈
PRADA,服装,女装,潮流时尚,奢侈
BOSS,服装,男装,商务,高档
皮尔卡丹,服装,男装,商务,高档
百图,服装,女装,潮流时尚,中档
ES,服装,女装,潮流时尚,中档
雪莲,服装,女装,运动休闲,大众
珍贝,服装,女装,成熟优雅,中档
贝加尔,服装,女装,运动休闲,中档
爱慕,服装,内衣配饰,成熟优雅,大众
华歌尔,服装,内衣配饰,成熟优雅,中档
依恋,服装,女装,成熟优雅,中档
阔太,服装,中老年,成熟优雅,大众
瑞蚨祥,服装,女装,中式,奢侈
波顿，veilond,服装,男装,成熟优雅,中档
beartwo,服装,女装,潮流时尚,中档
a02,服装,女装,运动休闲,中档
f8派,服装,女装,商务,中档
圣雪绒,服装,男装,潮流时尚,中档
圣雪绒,服装,女装,潮流时尚,中档
兆君,服装,男装,潮流时尚,中档
兆君,服装,女装,潮流时尚,中档
鄂尔多斯,服装,女装,成熟优雅,中档
格格,服装,女装,中式,中档
好日子,服装,女装,中式,大众
红人,服装,女装,成熟优雅,中档
内联升,服装,内衣配饰,成熟优雅,中档
5cm,服装,男装,潮流时尚,中档
5cm,服装,女装,潮流时尚,中档
Levi’s,服装,男装,潮流时尚,中档
Levi’s,服装,女装,潮流时尚,中档
班尼路,服装,男装,运动休闲,大众
班尼路,服装,女装,运动休闲,大众
背靠背,服装,男装,运动休闲,大众
背靠背,服装,女装,运动休闲,大众
古今内衣,服装,内衣配饰,成熟优雅,大众
名店运动城,服装,男装,运动休闲,大众
名店运动城,服装,女装,运动休闲,大众
耐克,服装,男装,运动休闲,中档
耐克,服装,女装,运动休闲,中档
西遇,服装,男装,潮流时尚,大众
西遇,服装,女装,潮流时尚,大众
运动营,服装,男装,运动休闲,大众
运动营,服装,女装,运动休闲,大众
佐丹奴,服装,男装,潮流时尚,中档
佐丹奴,服装,女装,潮流时尚,中档
CELINE,服装,男装,潮流时尚,奢侈
CELINE,服装,女装,潮流时尚,奢侈
CHLOE,服装,男装,潮流时尚,奢侈
CHLOE,服装,女装,潮流时尚,奢侈
DKNY,服装,男装,潮流时尚,奢侈
DKNY,服装,女装,潮流时尚,奢侈
TIFFANY,服装,男装,潮流时尚,奢侈
TIFFANY,服装,女装,潮流时尚,奢侈
阿玛尼,服装,男装,潮流时尚,奢侈
阿玛尼,服装,女装,潮流时尚,奢侈
登喜路,服装,男装,潮流时尚,奢侈
登喜路,服装,女装,潮流时尚,奢侈
迪奥,服装,男装,潮流时尚,奢侈
迪奥,服装,女装,潮流时尚,奢侈
卡地亚,服装,男装,潮流时尚,奢侈
卡地亚,服装,女装,潮流时尚,奢侈
欧米茄,服装,男装,潮流时尚,奢侈
欧米茄,服装,女装,潮流时尚,奢侈
沛纳海,服装,男装,潮流时尚,奢侈
沛纳海,服装,女装,潮流时尚,奢侈
ABLE JEANS,服装,男装,潮流时尚,高档
ABLE JEANS,服装,女装,潮流时尚,高档
AF,服装,男装,潮流时尚,中档
AF,服装,女装,潮流时尚,中档
Agnes,服装,男装,成熟优雅,高档
Agnes,服装,女装,成熟优雅,高档
AGNONA,服装,女装,成熟优雅,高档
aigle,服装,男装,潮流时尚,高档
aigle,服装,女装,潮流时尚,高档
Aimer,服装,内衣配饰,成熟优雅,中档
amphi,服装,内衣配饰,成熟优雅,中档
ANN·ANN,服装,女装,潮流时尚,中档
AO2,服装,女装,运动休闲,大众
AOLTNA,服装,男装,成熟优雅,中档
Armani,服装,男装,潮流时尚,奢侈
Armani,服装,女装,潮流时尚,奢侈
arrtco,服装,女装,潮流时尚,中档
ATSUGR,服装,内衣配饰,潮流时尚,中档
AZONA,服装,女装,成熟优雅,中档
B.SIQI,服装,女装,成熟优雅,中档
Baker,服装,女装,成熟优雅,高档
BASIC HOUSE,服装,女装,潮流时尚,中档
bauhaus,服装,男装,潮流时尚,中档
bauhaus,服装,女装,潮流时尚,中档
bean pole,服装,男装,韩式,高档
bean pole,服装,女装,韩式,高档
body pops,服装,内衣配饰,成熟优雅,高档
Body.ing,服装,女装,运动休闲,中档
BONI,服装,男装,商务,高档
BONLUXE,服装,内衣配饰,成熟优雅,中档
BONPOINT,服装,儿童,潮流时尚,高档
bosilila,服装,男装,潮流时尚,高档
bosilila,服装,女装,潮流时尚,高档
bossini,服装,男装,运动休闲,中档
bossini,服装,女装,运动休闲,中档
BOSSsunwen,服装,男装,商务,奢侈
Bread N Butter,服装,女装,成熟优雅,高档
BRIONI,服装,男装,成熟优雅,高档
BROOKS BROTHERS,服装,男装,商务,高档
